,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
10427,8,1997,4650,1,122000,3,265,18.9,4.2
9788,3,1998,4999,1,55000,3,265,30.4,1.8
9523,26,2002,2876,2,99000,3,295,30.1,1.8
10108,26,2002,1990,2,131925,3,325,30.1,1.8
10588,3,2003,1490,1,101000,1,240,44.5,1.9
9359,6,2003,2495,2,129000,1,325,31.7,2.5
9810,26,2003,6490,1,43000,3,325,28.8,3.2
10109,20,2003,4990,2,106000,3,325,39.8,1.8
7750,6,2003,2495,1,117000,1,290,39.8,2.5
10158,2,2003,2490,2,100000,1,30,65.7,1.4
8182,3,2004,4689,1,28477,3,305,36.2,1.6
9895,26,2004,2895,2,129000,3,325,30.8,1.8
7403,21,2004,6990,1,88024,3,325,22.4,4.2
8941,6,2004,8995,1,100730,3,325,19.3,4.2
10552,4,2004,1699,2,110000,1,315,36.2,2.5
9915,21,2005,5895,1,62000,3,330,22.4,4.2
7795,3,2005,1975,2,104000,3,240,38.1,2.0
10179,4,2005,2990,2,95000,3,300,34.9,2.0
9544,4,2005,3195,2,123000,3,300,33.6,1.8
10500,3,2005,2895,2,106790,3,240,35.3,1.6
9897,3,2005,2495,2,122000,1,150,53.3,0.0
10107,4,2005,4990,2,87990,1,325,36.7,3.0
9689,4,2006,3495,1,105000,3,300,34.0,2.0
10171,16,2006,17999,2,66000,3,535,20.3,4.2
9988,4,2006,3895,2,93000,1,240,43.4,2.0
10516,4,2006,2995,2,114000,1,195,48.7,2.0
10150,6,2006,8750,1,98000,3,570,21.1,5.2
10167,3,2006,3880,2,87000,3,305,36.7,2.0
10184,4,2006,3888,2,80000,3,300,33.6,2.0
9879,4,2006,7995,1,74000,3,570,22.8,4.2
10212,8,2006,5595,1,104000,1,325,33.6,3.0
9731,4,2007,5495,2,89000,1,220,43.4,2.0
7491,26,2007,4995,2,102000,3,145,56.5,2.0
7493,3,2007,8488,2,73000,3,325,31.0,2.0
9829,21,2007,5995,2,101000,3,555,20.3,4.2
10259,6,2007,2600,2,127700,1,205,44.1,2.0
10499,26,2007,4999,2,85509,3,300,36.2,2.0
9882,3,2007,2995,2,128000,1,200,48.7,2.0
10048,26,2007,7850,2,50750,3,555,27.4,3.2
10125,26,2007,7850,2,63000,3,555,27.2,3.2
9543,4,2007,2675,2,125000,3,305,34.9,2.0
8235,26,2007,5995,1,93392,3,565,29.7,3.2
7438,4,2007,3495,2,138649,1,325,33.2,2.0
9634,3,2007,2795,2,104000,1,145,53.3,1.9
9864,6,2007,3995,1,136000,1,240,40.4,2.0
10183,6,2007,3990,1,70000,1,300,39.8,2.7
10475,14,2007,42992,1,39000,3,515,21.0,4.2
7846,4,2008,4495,2,146604,1,160,51.4,2.0
10112,4,2008,3990,2,148000,1,305,35.8,3.0
10532,26,2008,5795,1,91000,3,280,36.2,2.0
8247,3,2008,2995,2,117000,1,200,48.7,2.0
10206,3,2008,3980,1,86000,3,260,37.2,1.8
9726,3,2008,2995,2,136000,1,205,48.7,2.0
9076,14,2008,33950,1,52500,3,580,21.0,4.2
9896,3,2008,3995,2,123000,1,160,51.3,2.0
10587,12,2008,9930,1,57000,1,570,28.8,3.0
8058,4,2008,4350,2,91748,1,160,51.4,2.0
10111,4,2008,5490,1,89000,1,330,33.3,3.0
9727,3,2008,4495,2,119000,3,260,37.7,2.0
9852,4,2008,3995,1,130000,1,200,44.8,2.0
9878,4,2008,6450,2,98000,1,160,50.4,2.0
9822,6,2008,2490,2,323000,1,200,44.1,2.0
10180,3,2008,3490,2,82000,3,235,38.7,1.8
9733,26,2008,5495,1,82000,3,260,36.7,2.0
9732,11,2008,8495,2,83000,1,230,42.1,2.0
